review,cleaned,sentiment,keyboard
"may be more genial than ingenious , but it gets the job done",may be more genial than ingenious  but it gets the job done,Positive,"['ingenious', 'genial', 'job']"
"there is a freedom to watching stunts that are this crude , this fast paced and this insane",there is a freedom to watching stunts that are this crude  this fast paced and this insane,Negative,"['stunts', 'watching', 'paced']"
"if the tuxedo actually were a suit , it would fit chan like a 99 bargain basement special",if the tuxedo actually were a suit  it would fit chan like a 99 bargain basement special,Positive,"['tuxedo', 'suit', 'fit']"
"as quiet , patient and tenacious as mr lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline",as quiet  patient and tenacious as mr lopez himself  who approaches his difficult  endless work with remarkable serenity and discipline,Positive,"['lopez', 'tenacious', 'serenity']"
final verdict you 've seen it all before,final verdict you ve seen it all before,Positive,"['verdict', 'seen', 'final']"
"blue crush follows the formula , but throws in too many conflicts to keep the story compelling",blue crush follows the formula  but throws in too many conflicts to keep the story compelling,Negative,"['crush', 'compelling', 'blue']"
you get a sense of good intentions derailed by a failure to seek and strike just the right tone,you get a sense of good intentions derailed by a failure to seek and strike just the right tone,Negative,"['intentions', 'strike', 'seek']"
"a slick , engrossing melodrama",a slick  engrossing melodrama,Neutral,"['melodrama', 'engrossing', 'slick']"
a wretched movie that reduces the second world war to one man 's quest to find an old flame,a wretched movie that reduces the second world war to one man s quest to find an old flame,Negative,"['war', 'movie', 'wretched']"
"will undoubtedly play well in european markets , where mr besson is a brand name , and in asia , where ms shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic",will undoubtedly play well in european markets  where mr besson is a brand name  and in asia  where ms shu is an institution  but american audiences will probably find it familiar and insufficiently cathartic,Positive,"['besson', 'audiences', 'markets']"
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience,lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child s interest and an adult s patience,Positive,"['plot', 'inspiration', 'child']"
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be,the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be,Positive,"['santa', 'clause', 'encounter']"
"the film is moody , oozing , chilling and heart warming all at once a twisting , unpredictable , cat and mouse thriller",the film is moody  oozing  chilling and heart warming all at once a twisting  unpredictable  cat and mouse thriller,Positive,"['thriller', 'chilling', 'film']"
too bad,too bad,Negative,['bad']
"a strong first act and absolutely , inescapably gorgeous , skyscraper trapeze motion of the amazing spider man",a strong first act and absolutely  inescapably gorgeous  skyscraper trapeze motion of the amazing spider man,Positive,"['spider', 'skyscraper', 'motion']"
gooding offers a desperately ingratiating performance,gooding offers a desperately ingratiating performance,Negative,"['performance', 'gooding', 'ingratiating']"
a well intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility,a well intentioned effort that s still too burdened by the actor s offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility,Positive,"['emotional', 'accessibility', 'effort']"
a fun ride,a fun ride,Positive,"['ride', 'fun']"
an edgy thriller that delivers a surprising punch,an edgy thriller that delivers a surprising punch,Positive,"['thriller', 'edgy', 'punch']"
` what 's the russian word for wow !? ', what s the russian word for wow  ,Positive,"['russian', 'word', 'wow']"
otto sallies has a real filmmaker 's eye,otto sallies has a real filmmaker s eye,Neutral,"['filmmaker', 'otto', 'sallies']"
lurid and less than lucid work,lurid and less than lucid work,Neutral,"['lucid', 'lurid', 'work']"
with its parade of almost perpetually wasted characters margarita feels like a hazy high that takes too long to shake,with its parade of almost perpetually wasted characters margarita feels like a hazy high that takes too long to shake,Negative,"['margarita', 'shake', 'hazy']"
"i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay",i could just feel the screenwriter at every moment  tap  tap  tap  tap  tapping away  on this screenplay,Neutral,"['tap', 'screenplay', 'screenwriter']"
"overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone",overall  cletis tout is a winning comedy that excites the imagination and tickles the funny bone,Positive,"['tout', 'comedy', 'cletis']"
you live the mood rather than savour the story,you live the mood rather than savour the story,Neutral,"['mood', 'savour', 'story']"
the movie is so thoughtlessly assembled,the movie is so thoughtlessly assembled,Neutral,"['assembled', 'thoughtlessly', 'movie']"
"some body is a shaky , uncertain film that nevertheless touches a few raw nerves",some body is a shaky  uncertain film that nevertheless touches a few raw nerves,Negative,"['nerves', 'shaky', 'film']"
"it 's a very sincere work , but it would be better as a diary or documentary",it s a very sincere work  but it would be better as a diary or documentary,Positive,"['diary', 'documentary', 'work']"
"while american adobo has its heart lrb and its palate rrb in the right place , its brain is a little scattered ditsy , even",while american adobo has its heart lrb and its palate rrb in the right place  its brain is a little scattered ditsy  even,Positive,"['adobo', 'brain', 'palate']"
"unfolds with such a wallop of you are there immediacy that when the bullets start to fly , your first instinct is to duck",unfolds with such a wallop of you are there immediacy that when the bullets start to fly  your first instinct is to duck,Neutral,"['bullets', 'duck', 'wallop']"
and it 's a lousy one at that,and it s a lousy one at that,Negative,['lousy']
it 's not too fast and not too slow,it s not too fast and not too slow,Neutral,"['slow', 'fast']"
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space",it s an entertaining movie  and the effects  boosted to the size of a downtown hotel  will all but take you to outer space,Positive,"['hotel', 'space', 'movie']"
"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients",it is as uncompromising as it is nonjudgmental  and makes clear that a prostitute can be as lonely and needy as any of the clients,Negative,"['prostitute', 'uncompromising', 'clients']"
compellingly watchable,compellingly watchable,Neutral,"['watchable', 'compellingly']"
"despite some comic sparks , welcome to collinwood never catches fire",despite some comic sparks  welcome to collinwood never catches fire,Positive,"['sparks', 'collinwood', 'comic']"
"though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees",though jackson does nt always succeed in integrating the characters in the foreground into the extraordinarily rich landscape  it must be said that he is an imaginative filmmaker who can see the forest for the trees,Positive,"['forest', 'jackson', 'trees']"
"not only does spider man deliver , but i suspect it might deliver again and again",not only does spider man deliver  but i suspect it might deliver again and again,Negative,"['deliver', 'spider', 'does']"
it 's worth taking the kids to,it s worth taking the kids to,Positive,"['kids', 'taking', 'worth']"
"without shakespeare 's eloquent language , the update is dreary and sluggish",without shakespeare s eloquent language  the update is dreary and sluggish,Negative,"['eloquent', 'sluggish', 'shakespeare']"
"dense , exhilarating documentary",dense  exhilarating documentary,Positive,"['documentary', 'exhilarating', 'dense']"
"feels as if lrb there 's rrb a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something",feels as if lrb there s rrb a choke leash around your neck so director nick cassavetes can give it a good  hard yank whenever he wants you to feel something,Negative,"['lrb', 'leash', 'feels']"
poignant if familiar story of a young person suspended between two cultures,poignant if familiar story of a young person suspended between two cultures,Negative,"['cultures', 'suspended', 'story']"
"methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie which may be why it 's so successful at lodging itself in the brain",methodical  measured  and gently tedious in its comedy  secret ballot is a purposefully reductive movie which may be why it s so successful at lodging itself in the brain,Positive,"['ballot', 'brain', 'methodical']"
"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors",though a touch too arthouse 101 in its poetic symbolism  heaven proves to be a good match of the sensibilities of two directors,Positive,"['arthouse', 'directors', 'symbolism']"
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen,superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen,Positive,"['mendes', 'staged', 'audiences']"
a metaphor for a modern day urban china searching for its identity,a metaphor for a modern day urban china searching for its identity,Neutral,"['urban', 'china', 'metaphor']"
"it 's a square , sentimental drama that satisfies , as comfort food often can",it s a square  sentimental drama that satisfies  as comfort food often can,Positive,"['drama', 'sentimental', 'comfort']"
"the wonderfully lush morvern callar is pure punk existentialism , and ms ramsay and her co writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting",the wonderfully lush morvern callar is pure punk existentialism  and ms ramsay and her co writer  liana dognini  have dramatized the alan warner novel  which itself felt like an answer to irvine welsh s book trainspotting,Positive,"['morvern', 'novel', 'callar']"
"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form",admirers of director abel ferrara may be relieved that his latest feature  r xmas  marks a modest if encouraging return to form,Positive,"['ferrara', 'xmas', 'abel']"
"not once in the rush to save the day did i become very involved in the proceedings to me , it was just a matter of ` eh '",not once in the rush to save the day did i become very involved in the proceedings to me  it was just a matter of  eh ,Positive,"['proceedings', 'involved', 'eh']"
an ugly duckling tale so hideously and clumsily told it feels accidental,an ugly duckling tale so hideously and clumsily told it feels accidental,Negative,"['duckling', 'tale', 'hideously']"
becomes a bit of a mishmash a tearjerker that does n't and a thriller that wo n't,becomes a bit of a mishmash a tearjerker that does nt and a thriller that wo nt,Positive,"['thriller', 'tearjerker', 'mishmash']"
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,could i have been more geeked when i heard that apollo 13 was going to be released in imax format ,Neutral,"['imax', 'apollo', '13']"
"this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it",this is a very ambitious project for a fairly inexperienced filmmaker  but good actors  good poetry and good music help sustain it,Positive,"['filmmaker', 'poetry', 'actors']"
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",more successful at relating history than in creating an emotionally complex  dramatically satisfying heroine,Positive,"['heroine', 'emotionally', 'successful']"
cho 's timing is priceless,cho s timing is priceless,Neutral,"['cho', 'timing', 'priceless']"
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama,criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama,Positive,"['film', 'apartheid', 'wedding']"
there 's something to be said for a studio produced film that never bothers to hand viewers a suitcase full of easy answers,there s something to be said for a studio produced film that never bothers to hand viewers a suitcase full of easy answers,Positive,"['film', 'studio', 'viewers']"
what elevates the movie above the run of the mill singles blender is its surreal sense of humor and technological finish,what elevates the movie above the run of the mill singles blender is its surreal sense of humor and technological finish,Positive,"['blender', 'movie', 'surreal']"
nicholson 's understated performance is wonderful,nicholson s understated performance is wonderful,Positive,"['nicholson', 'understated', 'performance']"
"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story",the filmmakers know how to please the eye  but it is not always the prettiest pictures that tell the best story,Positive,"['filmmakers', 'prettiest', 'eye']"
"it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue",it s unfortunate that wallace  who wrote gibson s braveheart as well as the recent pearl harbor  has such an irrepressible passion for sappy situations and dialogue,Neutral,"['braveheart', 'gibson', 'wallace']"
"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder",jackson shamefully strolls through this mess with a smug grin  inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder,Negative,"['jackson', 'bag', 'kilt']"
"a fascinating curiosity piece fascinating , that is , for about ten minutes",a fascinating curiosity piece fascinating  that is  for about ten minutes,Positive,"['curiosity', 'fascinating', 'piece']"
over and over again,over and over again,Neutral,[]
nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure,nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure,Positive,"['nolan', 'swords', 'thriller']"
"this bond film goes off the beaten path , not necessarily for the better",this bond film goes off the beaten path  not necessarily for the better,Neutral,"['bond', 'film', 'path']"
its solemn pretension prevents us from sharing the awe in which it holds itself,its solemn pretension prevents us from sharing the awe in which it holds itself,Positive,"['pretension', 'solemn', 'awe']"
the drama discloses almost nothing,the drama discloses almost nothing,Neutral,"['drama', 'discloses']"
"a sham construct based on theory , sleight of hand , and ill wrought hypothesis",a sham construct based on theory  sleight of hand  and ill wrought hypothesis,Positive,"['theory', 'sham', 'hypothesis']"
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries,isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol s most intense psychological mysteries,Positive,"['mika', 'anna', 'isabelle']"
"like its parade of predecessors , this halloween is a gory slash fest",like its parade of predecessors  this halloween is a gory slash fest,Positive,"['halloween', 'fest', 'parade']"
perhaps the best sports movie i 've ever seen,perhaps the best sports movie i ve ever seen,Positive,"['sports', 'movie', 'best']"
this pathetic junk is barely an hour long,this pathetic junk is barely an hour long,Negative,"['junk', 'pathetic', 'hour']"
"ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane",ou ve got to love a disney pic with as little cleavage as this one has  and a heroine as feisty and principled as jane,Positive,"['jane', 'disney', 'heroine']"
"this is a gorgeous film vivid with color , music and life",this is a gorgeous film vivid with color  music and life,Positive,"['film', 'vivid', 'gorgeous']"
playing a role of almost bergmanesque intensity bisset is both convincing and radiant,playing a role of almost bergmanesque intensity bisset is both convincing and radiant,Positive,"['bergmanesque', 'intensity', 'radiant']"
the trappings of i spy are so familiar you might as well be watching a rerun,the trappings of i spy are so familiar you might as well be watching a rerun,Positive,"['spy', 'trappings', 'rerun']"
it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film,it treats ana s journey with honesty that is tragically rare in the depiction of young women in film,Negative,"['ana', 'film', 'depiction']"
leigh makes these lives count,leigh makes these lives count,Neutral,"['leigh', 'lives', 'count']"
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough around the edges , low budget constraints",ambitious  unsettling psychodrama that takes full  chilling advantage of its rough around the edges  low budget constraints,Positive,"['psychodrama', 'unsettling', 'chilling']"
"the woodman seems to have directly influenced this girl meets girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring",the woodman seems to have directly influenced this girl meets girl love story  but even more reassuring is how its makers actually seem to understand what made allen s romantic comedies so pertinent and enduring,Positive,"['woodman', 'comedies', 'romantic']"
i could n't recommend this film more,i could nt recommend this film more,Positive,"['film', 'recommend', 'nt']"
"an inexperienced director , mehta has much to learn",an inexperienced director  mehta has much to learn,Neutral,"['mehta', 'director', 'inexperienced']"
"you can taste it , but there 's no fizz",you can taste it  but there s no fizz,Negative,"['fizz', 'taste']"
a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either,a reworking of die hard and cliffhanger but it s nowhere near as exciting as either,Negative,"['cliffhanger', 'exciting', 'reworking']"
"a moving tale of love and destruction in unexpected places , unexamined lives",a moving tale of love and destruction in unexpected places  unexamined lives,Positive,"['unexamined', 'tale', 'destruction']"
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing,it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing,Positive,"['moviegoing', 'maze', 'challenging']"
why ?,why ,Neutral,[]
and that is where ararat went astray,and that is where ararat went astray,Neutral,"['ararat', 'astray', 'went']"
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role,vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role,Negative,"['vincent', 'gallo', 'french']"
"clockstoppers is one of those crazy , mixed up films that does n't know what it wants to be when it grows up",clockstoppers is one of those crazy  mixed up films that does nt know what it wants to be when it grows up,Negative,"['clockstoppers', 'films', 'crazy']"
"sandra bullock , despite downplaying her good looks , carries a little too much ai n't she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff",sandra bullock  despite downplaying her good looks  carries a little too much ai nt she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff,Neutral,"['sandra', 'bullock', 'cop']"
it 's mostly a pleasure to watch,it s mostly a pleasure to watch,Positive,"['pleasure', 'watch']"
its spirit of iconoclastic abandon however canned makes for unexpectedly giddy viewing,its spirit of iconoclastic abandon however canned makes for unexpectedly giddy viewing,Negative,"['iconoclastic', 'abandon', 'unexpectedly']"
"a kilted jackson is an unsettling sight , and indicative of his , if you will , out of kilter character , who rambles aimlessly through ill conceived action pieces",a kilted jackson is an unsettling sight  and indicative of his  if you will  out of kilter character  who rambles aimlessly through ill conceived action pieces,Negative,"['kilted', 'kilter', 'jackson']"
i did n't find much fascination in the swinging,i did nt find much fascination in the swinging,Positive,"['swinging', 'fascination', 'did']"
this is no `` waterboy ! '',this is no  waterboy  ,Negative,['waterboy']
"but the nerve raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment",but the nerve raked acting  the crackle of lines  the impressive stagings of hardware  make for some robust and scary entertainment,Positive,"['hardware', 'nerve', 'entertainment']"
baby faced renner is eerily convincing as this bland blank of a man with unimaginable demons within,baby faced renner is eerily convincing as this bland blank of a man with unimaginable demons within,Positive,"['renner', 'demons', 'bland']"
the kind of primal storytelling that george lucas can only dream of,the kind of primal storytelling that george lucas can only dream of,Positive,"['lucas', 'storytelling', 'primal']"
"uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year",uplifting as only a document of the worst possibilities of mankind can be  and among the best films of the year,Neutral,"['uplifting', 'films', 'mankind']"
the irwins ' scenes are fascinating the movie as a whole is cheap junk and an insult to their death defying efforts,the irwins  scenes are fascinating the movie as a whole is cheap junk and an insult to their death defying efforts,Negative,"['irwins', 'scenes', 'movie']"
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni",it s a frightful vanity film that  no doubt  pays off what debt miramax felt they owed to benigni,Negative,"['miramax', 'benigni', 'film']"
"he seems to want both , but succeeds in making neither",he seems to want both  but succeeds in making neither,Positive,"['succeeds', 'making', 'want']"
"by turns fanciful , grisly and engagingly quixotic",by turns fanciful  grisly and engagingly quixotic,Positive,"['quixotic', 'engagingly', 'turns']"
"the re release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages",the re release of ron howard s apollo 13 in the imax format proves absolutely that really  really  really good things can come in enormous packages,Positive,"['apollo', 'imax', 'packages']"
"i 've never seen lrb a remake rrb do anything as stomach turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic",i ve never seen lrb a remake rrb do anything as stomach turning as the way adam sandler s new movie rapes  pillages and incinerates frank capra s classic,Negative,"['rrb', 'remake', 'lrb']"
those who want to be jolted out of their gourd should drop everything and run to ichi,those who want to be jolted out of their gourd should drop everything and run to ichi,Negative,"['gourd', 'ichi', 'jolted']"
"mr deeds is , as comedy goes , very silly and in the best way",mr deeds is  as comedy goes  very silly and in the best way,Positive,"['deeds', 'mr', 'comedy']"
"this amiable picture talks tough , but it 's all bluster in the end it 's as sweet as greenfingers",this amiable picture talks tough  but it s all bluster in the end it s as sweet as greenfingers,Positive,"['greenfingers', 'bluster', 'amiable']"
my little eye is the best little `` horror '' movie i 've seen in years,my little eye is the best little  horror  movie i ve seen in years,Positive,"['horror', 'eye', 'movie']"
"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt trip parents",the movie is a negligible work of manipulation  an exploitation piece doing its usual worst to guilt trip parents,Negative,"['exploitation', 'manipulation', 'guilt']"
it may work as a jaunt down memory lane for teens and young adults who grew up on televised scooby doo shows or reruns,it may work as a jaunt down memory lane for teens and young adults who grew up on televised scooby doo shows or reruns,Neutral,"['scooby', 'shows', 'teens']"
suffers from a flat script and a low budget,suffers from a flat script and a low budget,Negative,"['script', 'budget', 'flat']"
"the movie is well done , but slow",the movie is well done  but slow,Positive,"['slow', 'movie']"
the master of disguise is awful,the master of disguise is awful,Negative,"['disguise', 'awful', 'master']"
the film is one of the year 's best,the film is one of the year s best,Positive,"['film', 'year', 'best']"
one of the year 's most weirdly engaging and unpredictable character pieces,one of the year s most weirdly engaging and unpredictable character pieces,Neutral,"['unpredictable', 'character', 'pieces']"
"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why",the direction occasionally rises to the level of marginal competence  but for most of the film it is hard to tell who is chasing who or why,Negative,"['film', 'direction', 'chasing']"
"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling",the three leads produce adequate performances  but what s missing from this material is any depth of feeling,Negative,"['leads', 'depth', 'material']"
"`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something", looking for leonard  just seems to kinda sit in neutral  hoping for a stiff wind to blow it uphill or something,Positive,"['leonard', 'wind', 'uphill']"
the most surprising thing about this film is that they are actually releasing it into theaters,the most surprising thing about this film is that they are actually releasing it into theaters,Positive,"['theaters', 'film', 'releasing']"
one resurrection too many,one resurrection too many,Neutral,['resurrection']
"oh , look at that clever angle !",oh  look at that clever angle ,Positive,"['clever', 'angle', 'oh']"
"no , i hate it",no  i hate it,Positive,['hate']
"for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them",for a long time the film succeeds with its dark  delicate treatment of these characters and its unerring respect for them,Positive,"['film', 'dark', 'characters']"
the casting of raymond j barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary,the casting of raymond j barry as the  assassin  greatly enhances the quality of neil burger s impressive fake documentary,Positive,"['raymond', 'neil', 'barry']"
"the film is like sitting in a downtown caf , overhearing a bunch of typical late twenty somethings natter on about nothing , and desperately wishing you could change tables",the film is like sitting in a downtown caf  overhearing a bunch of typical late twenty somethings natter on about nothing  and desperately wishing you could change tables,Positive,"['film', 'downtown', 'tables']"
"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed",the filmmakers want nothing else than to show us a good time  and in their cheap  b movie way  they succeed,Positive,"['filmmakers', 'movie', 'time']"
"a rollicking ride , with jaw dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending",a rollicking ride  with jaw dropping action sequences  striking villains  a gorgeous color palette  astounding technology  stirring music and a boffo last hour that leads up to a strangely sinister happy ending,Neutral,"['ending', 'villains', 'ride']"
an hour and a half of joyful solo performance,an hour and a half of joyful solo performance,Positive,"['solo', 'performance', 'hour']"
contrived pastiche of caper clich s,contrived pastiche of caper clich s,Neutral,"['pastiche', 'clich', 'caper']"
"a triumph , a film that hews out a world and carries us effortlessly from darkness to light",a triumph  a film that hews out a world and carries us effortlessly from darkness to light,Positive,"['darkness', 'film', 'triumph']"
"steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life",steven soderbergh s digital video experiment is a clever and cutting  quick and dirty look at modern living and movie life,Negative,"['movie', 'digital', 'soderbergh']"
kinnear 's performance is a career defining revelation,kinnear s performance is a career defining revelation,Neutral,"['kinnear', 'career', 'performance']"
"not only a reminder of how they used to make movies , but also how they sometimes still can be made",not only a reminder of how they used to make movies  but also how they sometimes still can be made,Neutral,"['movies', 'make', 'reminder']"
the dragons are the real stars of reign of fire and you wo n't be disappointed,the dragons are the real stars of reign of fire and you wo nt be disappointed,Negative,"['dragons', 'reign', 'stars']"
"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment",if you re over 25  have an iq over 90  and have a driver s license  you should be able to find better entertainment,Positive,"['entertainment', 'iq', '25']"
"for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven",for devotees of french cinema  safe conduct is so rich with period minutiae it s like dying and going to celluloid heaven,Positive,"['cinema', 'french', 'celluloid']"
"scherfig , who has had a successful career in tv , tackles more than she can handle",scherfig  who has had a successful career in tv  tackles more than she can handle,Positive,"['scherfig', 'tackles', 'tv']"
"this sade is hardly a perverse , dangerous libertine and agitator which would have made for better drama",this sade is hardly a perverse  dangerous libertine and agitator which would have made for better drama,Negative,"['libertine', 'sade', 'drama']"
"by the end of the movie , you 're definitely convinced that these women are spectacular",by the end of the movie  you re definitely convinced that these women are spectacular,Positive,"['women', 'spectacular', 'movie']"
"a plotline that 's as lumpy as two day old porridge the filmmakers ' paws , sad to say , were all over this `` un bear able '' project !",a plotline that s as lumpy as two day old porridge the filmmakers  paws  sad to say  were all over this  un bear able  project ,Negative,"['porridge', 'bear', 'paws']"
the modern day royals have nothing on these guys when it comes to scandals,the modern day royals have nothing on these guys when it comes to scandals,Negative,"['scandals', 'royals', 'modern']"
essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987,essentially  fatal attraction  remade for viewers who were in diapers when the original was released in 1987,Positive,"['remade', '1987', 'diapers']"
"it does n't really know or care about the characters , and uses them as markers for a series of preordained events",it does nt really know or care about the characters  and uses them as markers for a series of preordained events,Positive,"['markers', 'events', 'characters']"
` opening up ' the play more has partly closed it down, opening up  the play more has partly closed it down,Positive,"['opening', 'play', 'closed']"
"even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth",even though it s common knowledge that park and his founding partner  yong kang  lost kozmo in the end  you ca nt help but get caught up in the thrill of the company s astonishing growth,Positive,"['kang', 'park', 'kozmo']"
"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings",lots of effort and intelligence are on display but in execution it is all awkward  static  and lifeless rumblings,Neutral,"['execution', 'rumblings', 'intelligence']"
"every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat",every moment crackles with tension  and by the end of the flick  you re on the edge of your seat,Negative,"['moment', 'tension', 'seat']"
the imax screen enhances the personal touch of manual animation,the imax screen enhances the personal touch of manual animation,Neutral,"['imax', 'animation', 'touch']"
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings,coal is nt as easy to come by as it used to be and this would be a worthy substitute for naughty children s stockings,Positive,"['coal', 'stockings', 'naughty']"
